step,quiet agents,jailed agents,active agents
1,945,64,112
2,556,124,441
3,555,181,385
4,555,236,330
5,555,288,278
6,555,336,230
7,555,383,183
8,555,433,133
9,556,475,90
10,564,510,47
11,593,522,6
12,615,506,0
13,633,488,0
14,655,466,0
15,676,445,0
16,693,428,0
17,712,409,0
18,726,395,0
19,743,378,0
20,757,364,0
21,782,339,0
22,807,314,0
23,827,294,0
24,844,277,0
25,870,251,0
26,889,232,0
27,910,211,0
28,925,196,0
29,947,174,0
30,970,151,0
31,990,131,0
32,997,123,1
33,1011,110,0
34,1020,101,0
35,1032,89,0
36,1044,77,0
37,1024,90,7
38,1038,83,0
39,1043,78,0
40,1046,75,0
41,1048,73,0
42,1049,72,0
43,1051,70,0
44,1054,67,0
45,1054,67,0
46,1055,66,0
47,1061,60,0
48,1061,60,0
49,1062,59,0
50,1063,58,0
51,1065,56,0
52,1066,55,0
53,1070,51,0
54,1066,54,1
55,936,107,78
56,582,161,378
57,555,214,352
58,555,270,296
59,555,321,245
60,555,366,200
61,555,408,158
62,555,457,109
63,557,499,65
64,581,527,13
65,604,516,1
66,632,489,0
67,656,465,0
68,680,441,0
69,701,420,0
70,722,399,0
71,739,382,0
72,759,362,0
73,782,339,0
74,802,319,0
75,814,307,0
76,845,276,0
77,862,259,0
78,874,247,0
79,897,224,0
80,919,202,0
81,934,187,0
82,956,165,0
83,966,155,0
84,991,130,0
85,963,142,16
86,833,185,103
87,562,230,329
88,555,266,300
89,555,312,254
90,555,357,209
91,555,393,173
92,555,432,134
93,555,476,90
94,559,520,42
95,605,516,0
96,626,495,0
97,645,476,0
98,665,456,0
99,685,436,0
100,699,421,1
101,711,410,0
102,725,396,0
103,741,380,0
104,760,361,0
105,778,343,0
106,799,321,1
107,820,301,0
108,836,285,0
109,860,261,0
110,876,245,0
111,899,222,0
112,921,200,0
113,938,183,0
114,965,156,0
115,980,141,0
116,997,124,0
117,1013,108,0
118,1021,100,0
119,1035,86,0
120,1030,85,6
121,1047,74,0
122,1053,68,0
123,1055,66,0
124,1056,65,0
125,1057,64,0
126,983,105,33
127,682,161,278
128,555,220,346
129,555,273,293
130,555,325,241
131,555,379,187
132,555,422,144
133,555,466,100
134,560,508,53
135,585,525,11
136,618,503,0
137,637,484,0
138,668,452,1
139,682,439,0
140,707,414,0
141,724,397,0
142,744,377,0
143,767,354,0
144,783,338,0
145,789,327,5
146,813,308,0
147,830,291,0
148,849,272,0
149,869,252,0
150,889,232,0
step,quiet agents,jailed agents,active agents
step,quiet agents,jailed agents,active agents
